2023-05-02 10:00:42,487 INFO	[6450df49197efff1b6d990] root:734 - CONFIG: engine.autoreload.on (bool): False
2023-05-02 10:00:42,487 INFO	[6450df49197efff1b6d990] root:734 - CONFIG: error_page.default (method): <bound method ErrorController.handle_error of <splunk.appserver.mrsparkle.controllers.error.ErrorController object at 0x7effefe85cd0>>
2023-05-02 10:00:42,487 INFO	[6450df49197efff1b6d990] root:734 - CONFIG: etc_path (str): /workspaces/Splunk_installation/splunk/etc
2023-05-02 10:00:42,488 INFO	[6450df49197efff1b6d990] root:734 - CONFIG: firstTimeLoginMessage (str): 
2023-05-02 10:00:42,488 INFO	[6450df49197efff1b6d990] root:734 - CONFIG: firstTimeLoginMessageOption (str): default
2023-05-02 10:00:42,488 INFO	[6450df49197efff1b6d990] root:734 - CONFIG: flash_major_version (int): 9
2023-05-02 10:00:42,488 INFO	[6450df49197efff1b6d990] root:734 - CONFIG: flash_minor_version (int): 0
2023-05-02 10:00:42,488 INFO	[6450df49197efff1b6d990] root:734 - CONFIG: flash_revision_version (int): 124
2023-05-02 10:00:42,488 INFO	[6450df49197efff1b6d990] root:734 - CONFIG: forceHttp10 (str): auto
2023-05-02 10:00:42,488 INFO	[6450df49197efff1b6d990] root:734 - CONFIG: guid (NoneType): None
2023-05-02 10:00:42,488 INFO	[6450df49197efff1b6d990] root:734 - CONFIG: httpport (int): 8065
2023-05-02 10:00:42,488 INFO	[6450df49197efff1b6d990] root:734 - CONFIG: includeSubDomains (bool): False
2023-05-02 10:00:42,488 INFO	[6450df49197efff1b6d990] root:734 - CONFIG: install_type (str): UNKNOWN_INSTALL_TYPE
2023-05-02 10:00:42,489 INFO	[6450df49197efff1b6d990] root:734 - CONFIG: instance_type (str): cloud
2023-05-02 10:00:42,489 INFO	[6450df49197efff1b6d990] root:734 - CONFIG: is_forwarder_license (bool): False
2023-05-02 10:00:42,489 INFO	[6450df49197efff1b6d990] root:734 - CONFIG: is_free_license (bool): False
2023-05-02 10:00:42,489 INFO	[6450df49197efff1b6d990] root:734 - CONFIG: is_trial_license (bool): True
2023-05-02 10:00:42,489 INFO	[6450df49197efff1b6d990] root:734 - CONFIG: job_default_auto_cancel (int): 62
2023-05-02 10:00:42,489 INFO	[6450df49197efff1b6d990] root:734 - CONFIG: job_max_polling_interval (int): 1000
2023-05-02 10:00:42,489 INFO	[6450df49197efff1b6d990] root:734 - CONFIG: job_min_polling_interval (int): 100
2023-05-02 10:00:42,489 INFO	[6450df49197efff1b6d990] root:734 - CONFIG: js_logger_mode (str): None
2023-05-02 10:00:42,489 INFO	[6450df49197efff1b6d990] root:734 - CONFIG: js_logger_mode_server_end_point (str): util/log/js
2023-05-02 10:00:42,489 INFO	[6450df49197efff1b6d990] root:734 - CONFIG: js_logger_mode_server_max_buffer (int): 100
2023-05-02 10:00:42,490 INFO	[6450df49197efff1b6d990] root:734 - CONFIG: js_logger_mode_server_poll_buffer (int): 1000
2023-05-02 10:00:42,490 INFO	[6450df49197efff1b6d990] root:734 - CONFIG: jschart_results_limit (int): 10000
2023-05-02 10:00:42,490 INFO	[6450df49197efff1b6d990] root:734 - CONFIG: jschart_series_limit (int): 100
2023-05-02 10:00:42,490 INFO	[6450df49197efff1b6d990] root:734 - CONFIG: jschart_test_mode (bool): False
2023-05-02 10:00:42,490 INFO	[6450df49197efff1b6d990] root:734 - CONFIG: jschart_truncation_limit.chrome (int): 50000
2023-05-02 10:00:42,490 INFO	[6450df49197efff1b6d990] root:734 - CONFIG: jschart_truncation_limit.firefox (int): 50000
2023-05-02 10:00:42,490 INFO	[6450df49197efff1b6d990] root:734 - CONFIG: jschart_truncation_limit.ie11 (int): 50000
2023-05-02 10:00:42,490 INFO	[6450df49197efff1b6d990] root:734 - CONFIG: jschart_truncation_limit.safari (int): 50000
2023-05-02 10:00:42,490 INFO	[6450df49197efff1b6d990] root:734 - CONFIG: keepAliveIdleTimeout (int): 7200
2023-05-02 10:00:42,490 INFO	[6450df49197efff1b6d990] root:734 - CONFIG: license_desc (str): UNKNOWN_LICENSE_DESCRIPTION
2023-05-02 10:00:42,490 INFO	[6450df49197efff1b6d990] root:734 - CONFIG: license_labels (list): []
2023-05-02 10:00:42,491 INFO	[6450df49197efff1b6d990] root:734 - CONFIG: license_state (str): OK
2023-05-02 10:00:42,491 INFO	[6450df49197efff1b6d990] root:734 - CONFIG: listenOnIPv6 (bool): False
2023-05-02 10:00:42,491 INFO	[6450df49197efff1b6d990] root:734 - CONFIG: log.access_maxfiles (int): 5
2023-05-02 10:00:42,491 INFO	[6450df49197efff1b6d990] root:734 - CONFIG: log.access_maxsize (int): 25000000
2023-05-02 10:00:42,491 INFO	[6450df49197efff1b6d990] root:734 - CONFIG: log.error_maxfiles (int): 5
2023-05-02 10:00:42,491 INFO	[6450df49197efff1b6d990] root:734 - CONFIG: log.error_maxsize (int): 25000000
2023-05-02 10:00:42,491 INFO	[6450df49197efff1b6d990] root:734 - CONFIG: log.screen (bool): True
2023-05-02 10:00:42,491 INFO	[6450df49197efff1b6d990] root:734 - CONFIG: loginBackgroundImageOption (str): default
2023-05-02 10:00:42,491 INFO	[6450df49197efff1b6d990] root:734 - CONFIG: loginCustomBackgroundImage (str): 
2023-05-02 10:00:42,491 INFO	[6450df49197efff1b6d990] root:734 - CONFIG: loginCustomLogo (str): 
2023-05-02 10:00:42,492 INFO	[6450df49197efff1b6d990] root:734 - CONFIG: loginDocumentTitleOption (str): default
2023-05-02 10:00:42,492 INFO	[6450df49197efff1b6d990] root:734 - CONFIG: loginDocumentTitleText (str): 
2023-05-02 10:00:42,492 INFO	[6450df49197efff1b6d990] root:734 - CONFIG: loginFooterOption (str): default
2023-05-02 10:00:42,492 INFO	[6450df49197efff1b6d990] root:734 - CONFIG: loginFooterText (str): 
2023-05-02 10:00:42,492 INFO	[6450df49197efff1b6d990] root:734 - CONFIG: loginPasswordHint (str): 
2023-05-02 10:00:42,492 INFO	[6450df49197efff1b6d990] root:734 - CONFIG: login_content (str): 
2023-05-02 10:00:42,492 INFO	[6450df49197efff1b6d990] root:734 - CONFIG: mako_cache_path (str): /workspaces/Splunk_installation/splunk/var/run/splunk/mako_cache
2023-05-02 10:00:42,492 INFO	[6450df49197efff1b6d990] root:734 - CONFIG: master_guid (NoneType): None
2023-05-02 10:00:42,492 INFO	[6450df49197efff1b6d990] root:734 - CONFIG: maxSockets (int): 0
2023-05-02 10:00:42,492 INFO	[6450df49197efff1b6d990] root:734 - CONFIG: maxThreads (int): 0
2023-05-02 10:00:42,493 INFO	[6450df49197efff1b6d990] root:734 - CONFIG: max_view_cache_size (int): 1000
2023-05-02 10:00:42,493 INFO	[6450df49197efff1b6d990] root:734 - CONFIG: mgmtHostPort (str): 127.0.0.1:8089
2023-05-02 10:00:42,493 INFO	[6450df49197efff1b6d990] root:734 - CONFIG: minify_css (bool): True
2023-05-02 10:00:42,493 INFO	[6450df49197efff1b6d990] root:734 - CONFIG: minify_js (bool): True
2023-05-02 10:00:42,493 INFO	[6450df49197efff1b6d990] root:734 - CONFIG: module_dir (str): share/splunk/search_mrsparkle/modules
2023-05-02 10:00:42,493 INFO	[6450df49197efff1b6d990] root:734 - CONFIG: mrsparkle_path (str): /workspaces/Splunk_installation/splunk/share/search/mrsparkle
2023-05-02 10:00:42,493 INFO	[6450df49197efff1b6d990] root:734 - CONFIG: os_name (str): UNKNOWN_OS_NAME
2023-05-02 10:00:42,493 INFO	[6450df49197efff1b6d990] root:734 - CONFIG: override_JSON_MIME_type_with_text_plain (bool): True
2023-05-02 10:00:42,493 INFO	[6450df49197efff1b6d990] root:734 - CONFIG: pdfgen_is_available (int): 1
2023-05-02 10:00:42,493 INFO	[6450df49197efff1b6d990] root:734 - CONFIG: pivot_adhoc_acceleration_mode (str): Elastic
2023-05-02 10:00:42,493 INFO	[6450df49197efff1b6d990] root:734 - CONFIG: preload (bool): False
2023-05-02 10:00:42,494 INFO	[6450df49197efff1b6d990] root:734 - CONFIG: privKeyPath (str): $SPLUNK_HOME/etc/auth/splunkweb/privkey.pem
2023-05-02 10:00:42,494 INFO	[6450df49197efff1b6d990] root:734 - CONFIG: productMenuLabel (str): My Splunk
2023-05-02 10:00:42,494 INFO	[6450df49197efff1b6d990] root:734 - CONFIG: productMenuUriPrefix (str): https://splunkcommunities.force.com
2023-05-02 10:00:42,494 INFO	[6450df49197efff1b6d990] root:734 - CONFIG: product_type (str): splunk
2023-05-02 10:00:42,494 INFO	[6450df49197efff1b6d990] root:734 - CONFIG: remoteGroupsMatchExact (int): 0
2023-05-02 10:00:42,494 INFO	[6450df49197efff1b6d990] root:734 - CONFIG: remoteGroupsQuoted (bool): False
